sessionId,sensor,repIndex,startT,endT,duration,peakVelocity,meanVelocity,medianVelocity,sampleCount,truncated
7,right,1,476.3250769230769,477.65261538461533,1.3275384615384382,1.9823111722843647,1.0525713066406612,1.1982171560367372,141,false
7,left,1,574.724076923077,576.1424615384616,1.418384615384639,1.9628804093117458,0.9923319565535225,1.0403207641632641,144,false
7,right,2,478.2894615384615,479.27646153846155,0.9870000000000232,2.2247226841856294,1.290982448135711,1.5268899832841198,105,false
7,left,2,576.4498461538462,577.7092307692308,1.2593846153845334,2.3807961217193285,1.1174382600297792,1.1458708626081835,128,false
7,right,3,479.95946153846154,480.94646153846156,0.9870000000000232,2.165920131404166,1.339076149778937,1.5834971415029875,105,false
7,left,3,578.007,579.3838461538462,1.3768461538462589,2.345788893211221,1.1145128523137977,1.1691314402147985,140,false
7,right,4,481.515,482.54146153846153,1.0264615384615468,2.2067464440108417,1.3000555228656057,1.486821534417385,109,false
7,left,4,579.752,580.9890769230769,1.2370769230769838,2.4229814967827332,1.3546791039101878,1.5657171880921077,126,false
7,right,5,483.16769230769233,484.1152307692308,0.9475384615384428,2.115637779845949,1.3440435105377282,1.5541142956260983,101,false
7,left,5,581.2078461538462,582.6262307692307,1.4183846153845252,2.4817215670493264,1.2495168081425008,1.2614754746341745,144,false
7,right,6,484.6856923076923,485.6342307692308,0.948538461538476,2.018695245423108,1.3300354895559086,1.5241460698447031,101,false
7,left,6,582.7938461538462,584.2122307692307,1.4183846153845252,2.4786360624058315,1.3024436402655795,1.3729076756257084,144,false
7,left,7,584.351,585.9850769230769,1.6340769230769183,2.3976587383448886,1.5142845692603017,1.3521971779341029,166,false
7,right,7,486.17484615384615,487.70346153846157,1.5286153846154207,1.9077230942931012,1.1438729491728599,0.9820618715271926,162,false
7,left,8,588.0480769230769,588.7706923076922,0.7226153846153238,1.0409539230642366,0.7481171679748977,0.898219649368386,74,false
7,right,8,489.6100769230769,490.84430769230767,1.2342307692307486,1.1070885971683389,0.7590078245860487,0.8661618981719119,131,false
7,left,9,590.0994615384616,590.6458461538462,0.546384615384568,0.4813782605974447,0.3340106009072847,0.3474937271943497,56,false
7,right,9,491.537,492.3816153846154,0.8446153846153948,1.475947914792665,1.0256564097991014,1.1932092738822315,90,false
7,left,10,591.6160769230769,592.0632307692307,0.44715384615381026,0.5289763033724028,0.3976488854063048,0.41887536564838584,46,false
7,right,10,493.0924615384615,494.45084615384616,1.3583846153846366,1.3945447312803234,0.8718673966772542,1.0150053656770124,144,false
