x,y,z,gx,gy,gz,t
-0.2153617292642593,9.19355297088623,2.950455665588379,-0.4200000166893005,-4.199999809265137,-0.0700000002980232,0.0
-0.21296881636074316,9.194829050700713,2.953008127213309,-0.4200000166893005,-4.199999809265137,-0.0700000002980232,0.03333333333333333
-0.15442233085568943,9.208867708842504,2.9467865784969307,-0.4200000166893005,-4.199999809265137,-0.0700000002980232,0.06666666666666667
-0.16151172161099125,9.184095802307509,2.92761776161159,0.4900000095367431,-4.409999847412109,0.2100000083446502,0.1
-0.12107476588122122,9.171481081644574,2.895597551345865,0.4900000095367431,-4.409999847412109,0.2100000083446502,0.13333333333333333
-0.13594270773673633,9.201216712951522,2.8256160895027467,2.799999952316284,-4.619999885559082,0.4200000166893005,0.16666666666666666
-0.10814030301720806,9.21030330657959,2.828359872817806,2.799999952316284,-4.619999885559082,0.4200000166893005,0.2
-0.13080592445533382,9.196788314819273,2.8401203575134217,2.309999942779541,-4.340000152587891,0.4900000095367431,0.23333333333333334
-0.15263563100488778,9.14411873626722,2.781682368596574,2.309999942779541,-4.340000152587891,0.4900000095367431,0.26666666666666666
-0.15496726413223652,9.157129718139021,2.783290941103482,1.8943362362656821,-4.226637300137959,0.4522124027787522,0.3
-0.18879725539690023,9.205881469726476,2.801004250208795,1.5399999618530271,-4.130000114440918,0.4200000166893005,0.3333333333333333
-0.19300239252975948,9.208325317382055,2.777923761366056,1.5399999618530271,-4.130000114440918,0.4200000166893005,0.36666666666666664
-0.18061669647822634,9.210877342225615,2.812432708739963,0.4900000095367431,-4.269999980926514,0.2100000083446502,0.4
-0.17710710048609143,9.195467096965423,2.7701261361438214,0.4900000095367431,-4.269999980926514,0.2100000083446502,0.43333333333333335
-0.22344018646096486,9.233894083658747,2.7998874950407737,-0.3499999940395355,-4.269999980926514,0.1400000005960464,0.4666666666666667
-0.1784535130261858,9.223493057251646,2.8020762844102722,-0.3499999940395355,-4.269999980926514,0.1400000005960464,0.5
-0.16764395375934538,9.116507690430726,2.789920209886323,-1.0499999523162842,-4.199999809265137,0.2100000083446502,0.5333333333333333
-0.1677588120716431,9.190279286703,2.7881783040361956,-1.0499999523162842,-4.199999809265137,0.2100000083446502,0.5666666666666667
