sessionId,sensor,t,recvAt,x,y,z,gx,gy,gz,vVert,phase,repIndex
3,right,2167.496,1789025591959,-0.2153617292642593,9.19355297088623,2.950455665588379,-0.4200000166893005,-4.199999809265137,-0.0700000002980232,undefined,undefined,undefined
3,right,2167.505615384616,1789025591959,-0.2321120798587799,9.155266761779783,2.964813232421875,-0.4200000166893005,-4.199999809265137,-0.0700000002980232,undefined,undefined,undefined
3,right,2167.515230769231,1789025591959,-0.2010042816400528,9.198338508605955,2.9600272178649902,-0.4200000166893005,-4.199999809265137,-0.0700000002980232,undefined,undefined,undefined
3,right,2167.5248461538463,1789025591959,-0.1962184607982635,9.179195404052734,2.938491106033325,-0.4200000166893005,-4.199999809265137,-0.0700000002980232,undefined,undefined,undefined
3,right,2167.534461538461,1789025591959,-0.2321120798587799,9.212696075439451,2.9695990085601807,-0.4200000166893005,-4.199999809265137,-0.0700000002980232,undefined,undefined,undefined
3,right,2167.544076923077,1789025591959,-0.1986113786697387,9.172017097473145,2.9672060012817383,-0.4200000166893005,-4.199999809265137,-0.0700000002980232,undefined,undefined,undefined
3,right,2167.5536923076925,1789025591959,-0.1387886703014373,9.222268104553224,2.9624202251434326,-0.4200000166893005,-4.199999809265137,-0.0700000002980232,undefined,undefined,undefined
3,right,2167.563307692308,1789025591959,-0.1555390208959579,9.207910537719728,2.945669889450073,-0.4200000166893005,-4.199999809265137,-0.0700000002980232,undefined,undefined,undefined
3,right,2167.572,1789025592034,-0.1794681102037429,9.186373710632324,2.931312322616577,0.4900000095367431,-4.409999847412109,0.2100000083446502,undefined,undefined,undefined
3,right,2167.581615384616,1789025592034,-0.1890397369861602,9.198338508605955,2.945669889450073,0.4900000095367431,-4.409999847412109,0.2100000083446502,undefined,undefined,undefined
3,right,2167.591230769231,1789025592034,-0.1603248417377472,9.198338508605955,2.9145619869232178,0.4900000095367431,-4.409999847412109,0.2100000083446502,undefined,undefined,undefined
3,right,2167.6008461538463,1789025592034,-0.1627177447080612,9.169623374938965,2.940884113311768,0.4900000095367431,-4.409999847412109,0.2100000083446502,undefined,undefined,undefined
3,right,2167.610461538461,1789025592034,-0.1435744911432266,9.13133716583252,2.91695499420166,0.4900000095367431,-4.409999847412109,0.2100000083446502,undefined,undefined,undefined
3,right,2167.620076923077,1789025592034,-0.1579319387674331,9.157659530639648,2.900204658508301,0.4900000095367431,-4.409999847412109,0.2100000083446502,undefined,undefined,undefined
3,right,2167.6296923076925,1789025592034,-0.1196454018354415,9.172017097473145,2.895418882369995,0.4900000095367431,-4.409999847412109,0.2100000083446502,undefined,undefined,undefined
3,right,2167.639307692308,1789025592034,-0.1172524988651275,9.13133716583252,2.8475606441497803,0.4900000095367431,-4.409999847412109,0.2100000083446502,undefined,undefined,undefined
3,right,2167.648,1789025592109,-0.1124666780233383,9.18398094177246,2.857132196426392,2.799999952316284,-4.619999885559082,0.4200000166893005,undefined,undefined,undefined
3,right,2167.6576153846154,1789025592109,-0.0957163274288177,9.191160202026367,2.809274196624756,2.799999952316284,-4.619999885559082,0.4200000166893005,undefined,undefined,undefined
3,right,2167.667230769231,1789025592109,-0.1722893863916397,9.21030330657959,2.840381860733032,2.799999952316284,-4.619999885559082,0.4200000166893005,undefined,undefined,undefined
3,right,2167.6768461538463,1789025592109,-0.184253916144371,9.174409866333008,2.790130853652954,2.799999952316284,-4.619999885559082,0.4200000166893005,undefined,undefined,undefined
3,right,2167.6864615384616,1789025592109,-0.1651106625795364,9.21030330657959,2.8212387561798096,2.799999952316284,-4.619999885559082,0.4200000166893005,undefined,undefined,undefined
3,right,2167.6960769230773,1789025592109,-0.1076808646321296,9.21030330657959,2.8284173011779785,2.799999952316284,-4.619999885559082,0.4200000166893005,undefined,undefined,undefined
3,right,2167.7056923076925,1789025592109,-0.1651106625795364,9.207910537719728,2.811666965484619,2.799999952316284,-4.619999885559082,0.4200000166893005,undefined,undefined,undefined
3,right,2167.715307692308,1789025592109,-0.1579319387674331,9.23662567138672,2.830810308456421,2.799999952316284,-4.619999885559082,0.4200000166893005,undefined,undefined,undefined
3,right,2167.724,1789025592189,-0.1268241256475448,9.224660873413086,2.8427748680114746,2.309999942779541,-4.340000152587891,0.4900000095367431,undefined,undefined,undefined
3,right,2167.7336153846154,1789025592189,-0.1340028494596481,9.174409866333008,2.837989091873169,2.309999942779541,-4.340000152587891,0.4900000095367431,undefined,undefined,undefined
3,right,2167.743230769231,1789025592189,-0.1196454018354415,9.152873039245604,2.799702405929565,2.309999942779541,-4.340000152587891,0.4900000095367431,undefined,undefined,undefined
3,right,2167.7528461538463,1789025592189,-0.1363957673311233,9.188767433166504,2.852346420288086,2.309999942779541,-4.340000152587891,0.4900000095367431,undefined,undefined,undefined
3,right,2167.7624615384616,1789025592189,-0.1531461179256439,9.143301963806152,2.7805593013763428,2.309999942779541,-4.340000152587891,0.4900000095367431,undefined,undefined,undefined
3,right,2167.7720769230773,1789025592189,-0.12921704351902,9.181588172912598,2.833203077316284,2.309999942779541,-4.340000152587891,0.4900000095367431,undefined,undefined,undefined
3,right,2167.7816923076925,1789025592189,-0.1555390208959579,9.155266761779783,2.787737846374512,2.309999942779541,-4.340000152587891,0.4900000095367431,undefined,undefined,undefined
3,right,2167.791307692308,1789025592189,-0.1627177447080612,9.14808750152588,2.79491662979126,2.309999942779541,-4.340000152587891,0.4900000095367431,undefined,undefined,undefined
