sessionId,sensor,t,recvAt,x,y,z
1,right,506.773,1788776882142,8.214853286743164,12.330655097961426,0.9188767075538635
1,right,506.7826153846154,1788776882142,8.31535530090332,12.153580665588379,0.9451987147331238
1,right,506.7922307692308,1788776882142,8.231603622436523,12.115293502807617,0.8734114766120911
1,right,506.80184615384616,1788776882142,7.841559886932373,11.789857864379883,0.8901618123054504
1,right,506.8114615384616,1788776882142,7.269654750823975,11.040878295898438,0.8734114766120911
1,right,506.82107692307693,1788776882142,6.527853488922119,9.932961463928223,0.9116979837417603
1,right,506.83069230769235,1788776882142,5.886553764343262,8.547467231750488,0.9356270432472229
1,right,506.8403076923077,1788776882142,5.439080238342285,7.784130096435547,1.012200117111206
1,left,246.814,1788776882187,-3.9722273349761963,5.900911331176758,1.3519930839538574
1,left,246.82361538461538,1788776882187,-3.661149263381958,5.271576404571533,1.3496001958847046
1,left,246.83323076923077,1788776882187,-2.8571321964263916,4.64463472366333,1.3615647554397583
1,left,246.84284615384615,1788776882187,-2.3713719844818115,4.000942230224609,1.3424214124679565
1,left,246.85246153846154,1788776882187,-2.0674726963043213,3.7712230682373047,1.3998512029647827
1,left,246.86207692307693,1788776882187,-2.359407424926758,3.709007501602173,1.4883887767791748
1,left,246.8716923076923,1788776882187,-2.2947988510131836,3.886082649230957,1.531461238861084
1,left,246.88130769230767,1788776882187,-2.290013074874878,3.8956544399261475,1.5410327911376953
1,right,506.848,1788776882219,5.0131425857543945,7.307941436767578,1.1342384815216064
1,right,506.85761538461537,1788776882219,4.742743968963623,7.288797855377197,1.2108114957809448
1,right,506.8672307692308,1788776882219,4.843245983123779,6.82218074798584,1.2778129577636719
1,right,506.87684615384615,1788776882219,4.618312835693359,6.257454872131348,1.3304568529129028
1,right,506.88646153846156,1788776882219,4.410129547119141,5.66879940032959,1.3854937553405762
1,right,506.8960769230769,1788776882219,4.087087154388428,5.372078895568848,1.395065426826477
1,right,506.90569230769233,1788776882219,4.099051475524902,5.537189483642578,1.591283917427063
1,right,506.9153076923077,1788776882219,4.405344009399414,5.766908645629883,1.581712245941162
1,left,246.893,1788776882262,-2.0770442485809326,3.8549749851226807,1.5721405744552612
1,left,246.9026153846154,1788776882262,-2.1272952556610107,3.7353296279907227,1.6367491483688354
1,left,246.91223076923077,1788776882262,-2.4551236629486084,3.7784018516540527,1.7061434984207153
1,left,246.92184615384616,1788776882262,-2.9839563369750977,4.38380765914917,1.847325086593628
1,left,246.93146153846155,1788776882262,-3.352464199066162,5.094501495361328,1.9861136674880981
1,left,246.94107692307693,1788776882262,-3.414679765701294,5.671192169189453,2.163188934326172
1,left,246.95069230769232,1788776882262,-3.6563634872436523,6.133023262023926,2.3354783058166504
1,left,246.96030769230768,1788776882262,-3.94111967086792,6.616390705108643,2.481445789337158
1,right,506.924,1788776882289,4.852817535400391,5.932019233703613,1.8353605270385742
1,right,506.93361538461534,1788776882289,4.946141242980957,5.769301414489746,1.9478272199630737
1,right,506.94323076923075,1788776882289,4.852817535400391,5.463009357452393,2.141652822494507
1,right,506.9528461538461,1788776882289,4.848031997680664,5.5467610359191895,2.488624334335327
1,right,506.9624615384615,1788776882289,5.144752502441406,6.1234517097473145,2.3426570892333984
1,right,506.9720769230769,1788776882289,5.513260364532471,6.764750957489014,2.5269110202789307
1,right,506.9816923076923,1788776882289,6.018163681030273,6.992077350616455,2.7446656227111816
1,right,506.99130769230766,1788776882289,6.195239067077637,7.097365379333496,2.7877378463745117
1,left,246.973,1788776882337,-4.690099716186523,7.212224960327148,2.6178414821624756
1,left,246.9826153846154,1788776882337,-5.099287033081055,8.090422630310059,2.7853450775146484
1,left,246.9922307692308,1788776882337,-5.427115440368652,8.813080787658691,3.0102784633636475
1,left,247.00184615384617,1788776882337,-5.508474349975586,9.083478927612305,3.1179592609405518
1,left,247.01146153846156,1788776882337,-5.857839107513428,8.987762451171875,3.1586387157440186
1,left,247.02107692307695,1788776882337,-6.310098648071289,9.339520454406738,3.266319513320923
1,left,247.03069230769233,1788776882337,-6.76235818862915,9.777422904968262,3.2830698490142822
1,left,247.0403076923077,1788776882337,-6.934647560119629,10.409150123596191,3.261533737182617
1,right,506.999,1788776882364,6.377099990844727,7.315120220184326,2.8834543228149414
1,right,507.0086153846154,1788776882364,6.551782131195068,7.927704334259033,2.9983139038085938
1,right,507.0182307692308,1788776882364,7.047114372253418,8.604897499084473,2.931312322616577
1,right,507.02784615384616,1788776882364,7.815237998962402,9.633848190307617,2.7087719440460205
1,right,507.03746153846157,1788776882364,8.738900184631348,9.459165573120117,3.385964870452881
1,right,507.04707692307693,1788776882364,7.932490348815918,8.841794967651367,3.1299238204956055
1,right,507.05669230769234,1788776882364,7.74345064163208,9.913818359375,2.684842824935913
1,right,507.0663076923077,1788776882364,7.645341396331787,10.212931632995605,2.438373327255249
1,left,247.052,1788776882421,-7.1141157150268555,10.122001647949219,3.1849606037139893
1,left,247.06161538461538,1788776882421,-6.8748250007629395,9.222268104553223,3.027028799057007
1,left,247.07123076923077,1788776882421,-6.9872918128967285,9.057157516479492,2.823631525039673
1,left,247.08084615384615,1788776882421,-6.834145545959473,8.913582801818848,2.5819478034973145
1,left,247.09046153846154,1788776882421,-6.807823657989502,9.066728591918945,2.3929080963134766
1,left,247.10007692307693,1788776882421,-6.795858860015869,8.944690704345703,2.2038683891296387
1,left,247.1096923076923,1788776882421,-6.338813304901123,8.33449935913086,2.0698654651641846
1,left,247.11930769230767,1788776882421,-5.955948352813721,7.499373912811279,1.9095406532287598
1,right,507.074,1788776882439,7.975562572479248,10.844659805297852,2.21343994140625
1,right,507.08361538461537,1788776882439,8.214853286743164,11.194024085998535,1.9621846675872803
1,right,507.0932307692308,1788776882439,8.296212196350098,11.103093147277832,1.9717562198638916
1,right,507.10284615384614,1788776882439,7.834381103515625,10.811159133911133,1.7851094007492065
1,right,507.11246153846156,1788776882439,7.212224960327148,10.122001647949219,1.6056413650512695
1,right,507.1220769230769,1788776882439,6.886789321899414,9.688884735107422,1.4118157625198364
1,right,507.13169230769233,1788776882439,7.147616386413574,9.442415237426758,1.1557745933532715
1,right,507.1413076923077,1788776882439,7.195474624633789,9.490273475646973,1.0863802433013916
1,right,507.149,1788776882530,7.138044834136963,9.21748161315918,0.8159816861152649
1,right,507.15861538461536,1788776882530,6.496745586395264,8.502002716064453,0.8207674622535706
1,right,507.1682307692308,1788776882530,6.11148738861084,7.537660598754883,0.8016242384910583
1,right,507.17784615384613,1788776882530,5.604190826416016,6.807823657989502,0.6101915836334229
1,right,507.18746153846155,1788776882530,5.422329902648926,6.721678733825684,0.5934411883354187
1,right,507.1970769230769,1788776882530,5.403186321258545,6.525460243225098,0.5479759573936462
1,right,507.2066923076923,1788776882530,5.17346715927124,6.269419193267822,0.6317277550697327
1,right,507.2163076923077,1788776882530,4.895889759063721,5.838695526123047,0.6963362693786621
1,left,247.131,1788776882547,-5.326613426208496,6.6427130699157715,1.6534994840621948
1,left,247.1406153846154,1788776882547,-4.955712795257568,6.456066131591797,1.3328498601913452
1,left,247.15023076923077,1788776882547,-4.649420261383057,6.592461585998535,1.1294525861740112
1,left,247.15984615384616,1788776882547,-4.513024806976318,6.118666172027588,1.0385221242904663
1,left,247.16946153846155,1788776882547,-4.005728244781494,5.506081581115723,0.9116979837417603
1,left,247.17907692307693,1788776882547,-3.653970718383789,4.9365692138671875,0.7800880670547485
1,left,247.18869230769232,1788776882547,-3.443394660949707,4.814530849456787,0.5814766883850098
1,left,247.19830769230768,1788776882547,-3.6731138229370117,4.915033340454102,0.509689450263977
1,left,247.212,1788776882577,-3.7066147327423096,5.214146614074707,0.4929390549659729
1,left,247.22161538461538,1788776882577,-3.7760090827941895,5.228504180908203,0.5144752264022827
1,left,247.23123076923076,1788776882577,-3.716186285018921,5.424722671508789,0.5958341360092163
1,left,247.24084615384615,1788776882577,-4.276126861572266,5.778872966766357,0.7896596789360046
1,left,247.25046153846154,1788776882577,-4.611134052276611,6.470423698425293,0.9116979837417603
1,left,247.26007692307692,1788776882577,-4.972463130950928,7.020792484283447,1.1007376909255981
1,left,247.2696923076923,1788776882577,-5.149538040161133,7.461087226867676,1.306527853012085
1,left,247.27930769230767,1788776882577,-5.532403469085693,7.779344081878662,1.4716384410858154
1,right,507.225,1788776882589,4.453201770782471,5.716657638549805,0.8662327527999878
