sessionId,sensor,repIndex,startT,endT,duration,peakVelocity,meanVelocity,medianVelocity,sampleCount,truncated
4,right,1,2503.9304615384613,2504.3393076923076,0.40884615384629797,0.49242627397775357,0.4422370162851447,0.4417589154074815,44,false
4,left,1,2346.1360769230773,2347.041,0.9049230769228416,0.4487322347986974,0.22651448368518473,0.18674618008622212,92,false
4,right,2,2504.595230769231,2506.121846153846,1.52661538461507,0.6152399398796075,0.3211116838383047,0.29563346221265074,162,false
4,left,2,2347.1498461538463,2347.675,0.5251538461538985,0.4621665450951599,0.3541276335931154,0.38857402163331656,54,false
4,right,3,2508.2103076923077,2508.8654615384617,0.6551538461540076,0.4004750217931157,0.32058459097193553,0.33727977160961486,70,false
4,left,3,2353.179846153846,2353.4466923076925,0.2668461538464726,0.5071417898965744,0.2829783644876948,0.29292287843415915,28,false
4,right,4,2511.6273076923076,2512.2256923076925,0.5983846153849299,0.7996277975300883,0.4014478499280274,0.29529454833759317,64,false
4,left,4,2353.9236923076924,2354.2406923076924,0.3170000000000073,0.7087278656549647,0.2212180700917587,0.20445251719357466,33,false
4,right,5,2512.367076923077,2514.017846153846,1.6507692307691286,1.8473898588246225,1.2472889628869284,1.331244946029394,175,false
4,left,5,2354.2716153846154,2355.611,1.3393846153844606,0.9045974571890237,0.4251005968008729,0.43699771243807234,136,false
4,left,6,2359.598230769231,2361.185230769231,1.586999999999989,2.130456478380046,1.1177694189969294,0.9803536040934557,161,false
4,right,6,2518.022615384615,2520.518,2.4953846153848644,2.6534238610840917,1.1464371246784275,1.0795300386051059,264,true
4,left,7,2361.4616923076924,2363.953615384615,2.4919230769228307,2.551910738449262,1.366188854386685,1.4360870003377157,252,true
4,right,7,2520.537230769231,2523.033615384615,2.4963846153841587,3.0165257394756764,1.7309598575018263,1.6391581371769126,264,true
4,left,8,2363.972846153846,2366.4713076923076,2.49846153846147,2.9028251250157826,1.427736700581369,1.2120609018612791,253,true
4,right,8,2523.052846153846,2525.548230769231,2.4953846153848644,3.7794270165422272,2.496269088799327,2.6041235502734894,264,true
4,left,9,2366.4926153846154,2368.9910769230773,2.4984615384619246,3.2222499197406713,1.9037517949015437,1.7427911070977462,253,true
4,right,9,2525.5674615384614,2528.063846153846,2.4963846153846134,4.314161521802183,2.8470695795801864,2.7715284330369534,264,true
4,left,10,2369.010307692308,2371.501230769231,2.4909230769230817,3.677912658457756,2.505046468213576,2.5741621678593822,252,true
4,right,10,2528.083076923077,2530.16,2.076923076922867,4.636171384249162,3.323470963029254,3.4495845811750074,220,false
4,left,11,2371.5204615384614,2371.7083076923077,0.18784615384629433,2.485332516755748,2.477940538203227,2.481114945533677,20,false
4,left,12,2372.8704615384613,2373.574846153846,0.7043846153846971,1.6999386685528117,1.118117994250067,1.2403177789935937,72,false
4,right,11,2531.318230769231,2532.0493076923076,0.7310769230766709,1.8507001119178303,1.2355287256407075,1.378174694904692,78,false
4,left,13,2374.1586923076925,2374.9132307692307,0.7545384615382318,1.9388682855207582,1.2863476159548606,1.4562167494383216,77,false
4,right,12,2532.5803076923075,2533.425,0.8446923076926396,2.183150942826255,1.4007586317383673,1.5945047861661106,90,false
4,left,14,2375.3806153846153,2376.2824615384616,0.9018461538462361,2.148290090686693,1.3402005018230152,1.5116668516912366,92,false
4,right,13,2533.7568461538463,2534.858307692308,1.1014615384615354,2.4918127570281756,1.4110017514163857,1.5505292874945464,117,false
4,right,14,2534.9718461538464,2536.3474615384616,1.3756153846152301,2.921270472109817,1.8608898026763268,1.8195208724379976,146,false
4,left,15,2376.659230769231,2377.8983076923078,1.2390769230769365,2.475478398032222,1.615662050389454,1.5086739510481753,126,false
4,left,16,2379.8524615384613,2380.6560769230773,0.8036153846160232,1.8842985643645982,1.2471841526680514,1.424916050076553,82,false
4,right,15,2538.2936153846154,2539.138230769231,0.8446153846157358,2.048322000320359,1.332965464149057,1.5207622165371635,90,false
4,left,17,2381.183230769231,2382.1544615384614,0.9712307692302602,1.9538338626698317,1.2325797446875808,1.4279774187860432,99,false
4,right,16,2539.5836153846153,2542.08,2.4963846153846134,2.7531803671682327,1.3872257266878283,1.4238767315057168,264,true
4,left,18,2382.4426153846152,2383.624,1.1813846153845589,2.392359421457469,1.31273960932128,1.3749213963983786,120,false
4,right,17,2542.099230769231,2544.5946153846153,2.4953846153844097,3.40224854353643,1.9745150234345161,2.0125216929615037,264,true
4,left,19,2383.751076923077,2386.242,2.4909230769230817,2.8321239731340992,1.5993609733141345,1.7664365034248923,252,true
4,right,18,2544.613846153846,2547.110230769231,2.4963846153846134,3.8374503237145787,2.1896199400889946,1.9143708360857614,264,true
4,left,20,2386.261230769231,2388.7596923076926,2.49846153846147,3.191738965765252,1.6069935121338992,1.3080147719713064,253,true
4,right,19,2547.1294615384613,2549.623846153846,2.4943846153846607,4.889256349106217,3.1690839206155643,3.2622254680359903,264,true
4,left,21,2388.782,2391.2804615384616,2.49846153846147,4.2265367032103525,2.4886673552545058,2.5848893596363705,253,true
4,right,20,2549.643076923077,2550.3366923076924,0.6936153846154411,3.099633946308551,3.0327937227144646,3.055001687197385,74,false
4,right,21,2550.382846153846,2550.8773076923076,0.4944615384615645,0.41335680697473526,0.2504056872291199,0.2222779401135359,53,false
4,left,22,2391.2996923076926,2393.1054615384614,1.805769230768874,2.711742199091588,2.4960860370498925,2.5304260509612755,183,false
4,right,22,2551.057230769231,2553.553615384615,2.4963846153841587,0.7547307988856228,0.34115565832158834,0.390001245358158,264,true
