t,acc
0.0,9.30905
0.00961538461569944,9.189747
0.019230769230944134,9.151704
0.028846153846188827,9.057416
0.03846153846097877,9.035049
0.04807692307667821,8.9391775
0.05769230769237765,8.9380045
0.0673076923080771,8.879152
0.07600000000002183,8.819983
0.08561538461572127,8.805593
0.09523076923096596,8.772089
0.10484615384621065,8.730244
0.1144615384610006,8.66934
0.12407692307670004,8.675978
0.13369230769239948,8.6758375
0.14330769230809892,8.613667
0.15200000000004366,8.658284
0.16161538461528835,8.64498
0.1712307692309878,8.666897
0.18084615384623248,8.614042
0.19046153846147718,8.652563
0.20007692307717662,8.65038
0.2096923076924213,8.641561
0.21930769230812075,8.672085
0.22800000000006548,8.661679
0.23761538461531018,8.610786
0.24723076923100962,8.577895
0.2568461538462543,8.62653
0.266461538461499,8.561961
0.27607692307719844,8.612591
0.28569230769244314,8.574229
0.29530769230768783,8.569038
0.3040000000000873,8.57833
0.313615384615332,8.594005
0.32323076923103145,8.646228
0.33284615384627614,8.625397
0.34246153846152083,8.625836
0.35207692307722027,8.631216
0.3616923076929197,8.6005945
0.37130769230770966,8.639566
0.38000000000010914,8.612481
0.38961538461535383,8.619205
0.3992307692310533,8.636461
0.40884615384629797,8.588085
0.41846153846154266,8.624246
0.4280769230772421,8.62288
0.4376923076924868,8.59102
0.4473076923077315,8.629325
0.45600000000013097,8.633292
0.46561538461537566,8.646203
0.4752307692310751,8.697079
0.4848461538463198,8.654134
0.4944615384615645,8.671815
0.5040769230772639,8.619167
0.5136923076925086,8.601167
0.5233076923077533,8.606077
0.531999999999698,8.529271
0.5416153846149427,8.573208
0.5512307692306422,8.580765
0.5608461538458869,8.597884
0.5704615384611316,8.610367
0.580076923076831,8.614948
0.5896923076920757,8.643714
0.5993076923073204,8.64032
0.6069999999999709,8.674934
0.6166153846156703,8.628444
0.626230769230915,8.660497
0.6358461538461597,8.665069
0.6454615384609497,8.641557
0.6550769230771039,8.641189
0.6646923076923485,8.645701
0.674307692308048,8.638477
0.6829999999999927,8.607094
0.6926153846156922,8.626276
0.7022307692309369,8.5638895
0.7118461538461816,8.568969
0.7214615384609715,8.643713
0.7310769230771257,8.618648
0.7406923076923704,8.658009
0.7503076923080698,8.590212
0.7599999999997635,8.619357
0.7696153846150082,8.615819
0.7792307692307077,8.6205635
0.7888461538459524,8.58774
0.798461538461197,8.598957
0.8080769230768965,8.582815
0.8176923076916864,8.627311
0.8273076923073859,8.659819
0.8359999999997854,8.643984
0.84561538461503,8.591071
0.8552307692307295,8.627822
0.8648461538459742,8.651062
0.8744615384612189,8.609122
0.8840769230769183,8.588865
0.893692307692163,8.626764
0.9033076923074077,8.568388
0.9110000000000582,8.535231
0.9206153846153029,8.523476
0.9302307692310023,8.524944
0.939846153846247,8.474239
0.9494615384614917,8.503891
0.9590769230771912,8.532543
0.9686923076924359,8.55163
0.9783076923076806,8.519813
0.98700000000008,8.544613
0.9966153846153247,8.575164
1.0062307692310242,8.640265
1.0158461538462689,8.614971
1.0254615384615136,8.624634
1.035076923077213,8.702349
1.0446923076929124,8.793989
1.0543076923077024,8.853995
1.0630000000001019,8.824034
1.0726153846153466,8.729402
1.082230769231046,8.681564
1.0918461538462907,8.666391
1.1014615384615354,8.662014
1.1110769230772348,8.660373
1.1206923076924795,8.655452
1.1303076923077242,8.627273
1.1390000000001237,8.596719
1.1486153846153684,8.579211
1.1582307692310678,8.551544
1.1678461538463125,8.598231
1.1774615384615572,8.557086
1.1870769230772567,8.575556
1.1966923076925013,8.586346
1.206307692307746,8.609923
1.2149999999996908,8.647861
1.2246153846149355,8.614138
1.234230769230635,8.574943
1.2438461538458796,8.579277
1.2534615384611243,8.473194
1.2630769230768237,8.466872
1.2726923076920684,8.440102
1.2823076923073131,8.471795
1.2909999999997126,8.486072
1.3006153846149573,8.531317
1.3102307692306567,8.564925
1.3198461538459014,8.540119
1.3294615384606914,8.540094
1.3390769230768456,8.4714
1.3486923076920903,8.540617
1.358307692307335,8.547776
1.3669999999997344,8.611441
1.3766153846149791,8.537003
1.3862307692306786,8.5858965
1.3958461538459233,8.657542
1.405461538461168,8.655805
1.4150769230768674,8.680788
1.424692307692112,8.782531
1.4343076923073568,8.750376
1.4420000000000073,8.768468
1.4516153846157067,8.792862
1.4612307692309514,8.804821
1.470846153846196,8.839207
1.480461538460986,8.800943
1.4900769230766855,8.824
1.499692307692385,8.806183
1.5093076923080844,8.769145
1.518000000000029,8.710911
1.5276153846157285,8.624263
1.5372307692309732,8.598252
1.546846153846218,8.553698
1.5564615384614626,8.568637
1.566076923077162,8.53097
1.5756923076924068,8.516786
1.5853076923081062,8.444299
1.5949999999998,8.4347105
1.6046153846150446,8.48127
1.614230769230744,8.4394045
1.6238461538459887,8.444321
1.6334615384612334,8.453471
1.6430769230769329,8.602211
1.6526923076921776,8.642655
1.6623076923074223,8.658922
1.6709999999998217,8.694308
1.6806153846150664,8.731185
1.6902307692307659,8.676365
1.6998461538460106,8.729459
1.7094615384612553,8.693658
1.7190769230769547,8.765424
1.7286923076921994,8.725062
1.738307692307444,8.737858
1.7460000000000946,8.698235
1.7556153846153393,8.726706
1.7652307692310387,8.754139
1.7748461538462834,8.763529
1.784461538461528,8.774295
1.7940769230772275,8.735955
1.803692307692927,8.721452
1.813307692307717,8.695745
1.8220000000001164,8.626264
1.831615384615361,8.650143
1.8412307692310605,8.6147175
1.8508461538463052,8.581371
1.86046153846155,8.560028
