,t,acc
0,0.0,9.30905
1,0.0096153846156994,9.189747
2,0.0192307692309441,9.151704
3,0.0288461538461888,9.057416
4,0.0384615384609787,9.035049
5,0.0480769230766782,8.9391775
6,0.0576923076923776,8.9380045
7,0.0673076923080771,8.879152
8,0.0760000000000218,8.819983
9,0.0856153846157212,8.805593
10,0.0952307692309659,8.772089
11,0.1048461538462106,8.730244
12,0.1144615384610006,8.66934
13,0.1240769230767,8.675978
14,0.1336923076923994,8.6758375
15,0.1433076923080989,8.613667
16,0.1520000000000436,8.658284
17,0.1616153846152883,8.64498
18,0.1712307692309878,8.666897
19,0.1808461538462324,8.614042
20,0.1904615384614771,8.652563
21,0.2000769230771766,8.65038
22,0.2096923076924213,8.641561
23,0.2193076923081207,8.672085
24,0.2280000000000654,8.661679
25,0.2376153846153101,8.610786
26,0.2472307692310096,8.577895
27,0.2568461538462543,8.62653
28,0.266461538461499,8.561961
29,0.2760769230771984,8.612591
30,0.2856923076924431,8.574229
31,0.2953076923076878,8.569038
32,0.3040000000000873,8.57833
33,0.313615384615332,8.594005
34,0.3232307692310314,8.646228
35,0.3328461538462761,8.625397
36,0.3424615384615208,8.625836
37,0.3520769230772202,8.631216
38,0.3616923076929197,8.6005945
39,0.3713076923077096,8.639566
40,0.3800000000001091,8.612481
41,0.3896153846153538,8.619205
42,0.3992307692310533,8.636461
43,0.4088461538462979,8.588085
44,0.4184615384615426,8.624246
45,0.4280769230772421,8.62288
46,0.4376923076924868,8.59102
47,0.4473076923077315,8.629325
48,0.4560000000001309,8.633292
49,0.4656153846153756,8.646203
50,0.4752307692310751,8.697079
51,0.4848461538463198,8.654134
52,0.4944615384615645,8.671815
53,0.5040769230772639,8.619167
54,0.5136923076925086,8.601167
55,0.5233076923077533,8.606077
56,0.531999999999698,8.529271
57,0.5416153846149427,8.573208
58,0.5512307692306422,8.580765
59,0.5608461538458869,8.597884
60,0.5704615384611316,8.610367
61,0.580076923076831,8.614948
62,0.5896923076920757,8.643714
63,0.5993076923073204,8.64032
64,0.6069999999999709,8.674934
65,0.6166153846156703,8.628444
66,0.626230769230915,8.660497
67,0.6358461538461597,8.665069
68,0.6454615384609497,8.641557
69,0.6550769230771039,8.641189
70,0.6646923076923485,8.645701
71,0.674307692308048,8.638477
72,0.6829999999999927,8.607094
73,0.6926153846156922,8.626276
74,0.7022307692309369,8.5638895
75,0.7118461538461816,8.568969
76,0.7214615384609715,8.643713
77,0.7310769230771257,8.618648
78,0.7406923076923704,8.658009
79,0.7503076923080698,8.590212
80,0.7599999999997635,8.619357
81,0.7696153846150082,8.615819
82,0.7792307692307077,8.6205635
83,0.7888461538459524,8.58774
84,0.798461538461197,8.598957
85,0.8080769230768965,8.582815
86,0.8176923076916864,8.627311
87,0.8273076923073859,8.659819
88,0.8359999999997854,8.643984
89,0.84561538461503,8.591071
90,0.8552307692307295,8.627822
91,0.8648461538459742,8.651062
92,0.8744615384612189,8.609122
93,0.8840769230769183,8.588865
94,0.893692307692163,8.626764
95,0.9033076923074076,8.568388
96,0.9110000000000582,8.535231
97,0.9206153846153028,8.523476
98,0.9302307692310025,8.524944
99,0.939846153846247,8.474239
100,0.9494615384614916,8.503891
101,0.9590769230771912,8.532543
102,0.968692307692436,8.55163
103,0.9783076923076806,8.519813
104,0.98700000000008,8.544613
105,0.9966153846153248,8.575164
106,1.0062307692310242,8.640265
107,1.0158461538462689,8.614971
108,1.0254615384615136,8.624634
109,1.035076923077213,8.702349
110,1.0446923076929124,8.793989
111,1.0543076923077024,8.853995
112,1.063000000000102,8.824034
113,1.0726153846153466,8.729402
114,1.082230769231046,8.681564
115,1.0918461538462907,8.666391
116,1.1014615384615354,8.662014
117,1.1110769230772348,8.660373
118,1.1206923076924795,8.655452
119,1.1303076923077242,8.627273
120,1.1390000000001237,8.596719
121,1.1486153846153684,8.579211
122,1.1582307692310678,8.551544
123,1.1678461538463123,8.598231
124,1.1774615384615572,8.557086
125,1.1870769230772569,8.575556
126,1.1966923076925011,8.586346
127,1.206307692307746,8.609923
128,1.2149999999996908,8.647861
129,1.2246153846149357,8.614138
130,1.234230769230635,8.574943
131,1.2438461538458796,8.579277
132,1.2534615384611243,8.473194
133,1.2630769230768235,8.466872
134,1.2726923076920684,8.440102
135,1.2823076923073131,8.471795
136,1.2909999999997126,8.486072
137,1.3006153846149573,8.531317
138,1.3102307692306567,8.564925
139,1.3198461538459014,8.540119
140,1.3294615384606914,8.540094
141,1.3390769230768456,8.4714
142,1.3486923076920905,8.540617
143,1.358307692307335,8.547776
144,1.3669999999997344,8.611441
145,1.3766153846149791,8.537003
146,1.3862307692306786,8.5858965
147,1.3958461538459233,8.657542
148,1.405461538461168,8.655805
149,1.4150769230768674,8.680788
150,1.424692307692112,8.782531
151,1.4343076923073568,8.750376
152,1.4420000000000073,8.768468
153,1.4516153846157067,8.792862
154,1.4612307692309514,8.804821
155,1.470846153846196,8.839207
156,1.480461538460986,8.800943
157,1.4900769230766857,8.824
158,1.499692307692385,8.806183
159,1.5093076923080844,8.769145
160,1.518000000000029,8.710911
161,1.5276153846157283,8.624263
162,1.5372307692309732,8.598252
163,1.546846153846218,8.553698
164,1.5564615384614626,8.568637
165,1.566076923077162,8.53097
166,1.5756923076924068,8.516786
167,1.5853076923081062,8.444299
168,1.5949999999998,8.4347105
169,1.6046153846150446,8.48127
170,1.614230769230744,8.4394045
171,1.6238461538459887,8.444321
172,1.6334615384612334,8.453471
173,1.6430769230769329,8.602211
174,1.6526923076921776,8.642655
175,1.6623076923074225,8.658922
176,1.6709999999998215,8.694308
177,1.6806153846150664,8.731185
178,1.690230769230766,8.676365
179,1.6998461538460106,8.729459
180,1.7094615384612553,8.693658
181,1.7190769230769547,8.765424
182,1.7286923076921994,8.725062
183,1.738307692307444,8.737858
184,1.7460000000000946,8.698235
185,1.7556153846153393,8.726706
