acc,t
9.30905,0.0
9.046978066666103,0.03333333333333333
8.883075500002226,0.06666666666666667
8.751333880000553,0.1
8.675842745333334,0.13333333333333333
8.65649373066651,0.16666666666666666
8.650397464000058,0.2
8.633450349333268,0.23333333333333334
8.563041106666839,0.26666666666666666
8.574054035398182,0.3
8.625419242666661,0.3333333333333333
8.620755755998767,0.36666666666666664
8.632590920001373,0.4
8.605463200000804,0.43333333333333335
8.651765442666532,0.4666666666666667
8.641489752001135,0.5
8.5353635973348,0.5333333333333333
8.605440376000457,0.5666666666666667
8.643435260001533,0.6
8.66387418399998,0.6333333333333333
8.64421767200008,0.6666666666666666
8.5783631680013,0.7
8.627884714665973,0.7333333333333333
8.616903986666545,0.7666666666666666
8.596374279999512,0.8
8.648841935102803,0.8333333333333334
8.6431213599991,0.8666666666666667
8.588469343998565,0.9
8.508583186667659,0.9333333333333333
8.54760900533302,0.9666666666666667
8.598079551999653,1.0
8.688256679998117,1.0333333333333332
8.787947664000479,1.0666666666666667
8.662679304000008,1.1
8.616637684366006,1.1333333333333333
8.59250406133248,1.1666666666666667
8.594456487999643,1.2
8.578601199999332,1.2333333333333334
8.456877866666245,1.2666666666666666
8.528421320001968,1.3
8.512433215996163,1.3333333333333333
8.608999569323505,1.3666666666666667
8.656791615999948,1.4
8.753634373332257,1.4333333333333333
8.82426055199963,1.4666666666666666
8.804997784000337,1.5
8.608795125334039,1.5333333333333332
8.53010004800034,1.5666666666666667
8.45892144000132,1.6
8.453349000000289,1.6333333333333333
8.676667191741325,1.6666666666666667
8.728886183999458,1.7
8.7312382026669,1.7333333333333334
8.755541239999758,1.7666666666666666
8.727021152000752,1.8
8.64381364400012,1.8333333333333333
8.547330421333772,1.8666666666666667
8.545413144000303,1.9
8.56902195199956,1.9333333333333333
8.662871227137964,1.9666666666666666
8.644183159999121,2.0
8.698504402667592,2.033333333333333
8.713463333333026,2.0666666666666664
8.649227600000243,2.1
8.59340907199909,2.1333333333333333
8.599397407999929,2.1666666666666665
8.625682398230104,2.2
8.602961272000975,2.2333333333333334
8.604295789331122,2.2666666666666666
8.579233823999855,2.3
8.59352867999994,2.3333333333333335
8.62145043733352,2.3666666666666667
8.596825384001157,2.4
8.57171763466681,2.433333333333333
8.565717417333337,2.466666666666667
8.5553766190477,2.5
8.619321732000586,2.533333333333333
8.657396410666722,2.5666666666666664
8.647402903999986,2.6
8.606826673333394,2.6333333333333333
8.570730610665203,2.6666666666666665
8.5217510560015,2.7
8.49645787200187,2.7333333333333334
8.561392141333679,2.7666666666666666
8.596088736001473,2.8
8.596750818666537,2.8333333333333335
8.655703738667121,2.8666666666666667
8.6471450320003,2.9
8.64934027200043,2.933333333333333
8.595341544000318,2.966666666666667
8.594153023999919,3.0
8.579040165191376,3.033333333333333
8.614568960000035,3.0666666666666664
8.63272644000064,3.1
8.629661751999997,3.1333333333333333
8.637059039999945,3.1666666666666665
8.633530751999656,3.2
8.60623931733315,3.2333333333333334
8.650898082666698,3.2666666666666666
8.652405439999852,3.3
8.651681145502609,3.3333333333333335
8.638257530666637,3.3666666666666667
8.657856872000046,3.4
8.644979777333168,3.433333333333333
8.60143087999985,3.466666666666667
8.587803127999774,3.5
8.600356503999496,3.533333333333333
8.620067775811366,3.5666666666666664
8.653954415999571,3.6
8.65651145066632,3.6333333333333333
8.620331479999768,3.6666666666666665
8.568211183999948,3.6999999999999997
8.58762285333325,3.7333333333333334
8.580734973333348,3.7666666666666666
8.598655640000656,3.8
8.603382575998438,3.8333333333333335
8.631717277287244,3.8666666666666667
8.668705375999847,3.9
8.659985623999939,3.933333333333333
8.573917008000096,3.966666666666667
8.587374552000027,4.0
8.594787664000616,4.033333333333333
8.590032522666302,4.066666666666666
8.603367719999772,4.1
8.634327050665647,4.133333333333333
8.645344851851322,4.166666666666667
8.615879440000034,4.2
8.561186181333328,4.233333333333333
8.582024677333324,4.266666666666667
8.605726039999952,4.3
8.571850806667104,4.333333333333333
8.55304137866921,4.366666666666666
8.568492859999983,4.4
8.529313154667243,4.433333333333334
8.522662856000593,4.466666666666667
8.490230176000116,4.5
8.556488770666343,4.533333333333333
8.477948880000355,4.566666666666666
8.350909320000127,4.6
8.337706077333136,4.633333333333333
8.257155309333404,4.666666666666667
8.026793719999839,4.7
7.741030262399587,4.733333333333333
7.506263419733465,4.766666666666667
7.221577207200046,4.8
6.860551995734391,4.833333333333333
6.583776068801045,4.866666666666666
6.528676735997815,4.9
6.4698349433627635,4.933333333333334
6.502807853334873,4.966666666666667
6.79726423999513,5.0
7.450126651464461,5.033333333333333
7.969310159465841,5.066666666666666
8.16497631199771,5.1
8.264190666666817,5.133333333333333
8.251710453332857,5.166666666666667
8.343251320005226,5.2
8.252877345132644,5.233333333333333
8.234316205333378,5.266666666666667
8.198980515998489,5.3
8.344536498666573,5.333333333333333
8.644563920000085,5.366666666666666
9.0650483600016,5.4
